building,score,score_all
1,6.186568631990276,5.905991399896317
2,8.505786275150477,8.674353257590353
3,9.072867173859239,15.496227004004387
4,3.7588273139744075,6.5316003800828355
5,4.538994064825723,7.010089900238444
6,3.7921923819818684,4.5706838810656025
7,8.090327727571808,7.752820816347511
8,5.296644765611334,5.946769666964676
9,2.8760559383756887,3.3321650114784505
10,6.38964036297055,9.522249934189393
11,3.053319998397529,3.0953211691091655
12,3.5673221111525724,3.887332240781453
13,5.0667421291773405,6.013393137612807
14,16.10171530966237,19.201158736226194
15,2.731846023336673,3.292918646500189
16,3.8220821973381196,4.725690386905717
17,5.292560384122945,5.728130051783734
18,7.002333956496379,7.282854314088424
19,8.088963610749865,8.056163145109746
20,4.324329485157169,4.051989492266953
21,7.055449203279897,6.356477086282568
22,3.5672343114755165,4.233291829021549
23,1.434746661150115,1.724032205728529
24,2.0296236099674565,2.413049034591654
25,1.8272224501217342,2.579826931013016
26,1.8786774327947544,2.3802292055674203
27,1.3513956370253146,1.541609652994096
28,4.104686985200073,6.15924376975895
29,3.7367038002892516,3.370786893342935
30,6.961744418772721,6.856915415464236
31,4.343150809999117,5.670546021125162
32,0.4771548083773943,0.5439561793773697
33,0.27557222639514806,0.3927992719982676
34,0.5729109062875108,0.8989934021267555
35,0.4445504980787325,1.0160496327054656
36,0.40525237260669816,0.696099326709345
37,3.0466368823452044,3.7503472472189783
38,4.00859271717756,4.45862771617526
39,3.777968078775757,3.824591426926144
40,7.773151397081228,8.344836599384129
41,4.1848722902628355,3.8831755790528097
42,3.9220643510962674,7.77035097674945
43,5.323489251495014,5.454503369267695
44,3.599380400079967,5.3106372818132925
45,2.051682340528883,2.3453613769894543
46,4.440057817312748,4.560203737438802
47,4.068950282987644,4.266543684211239
48,1.9118345956316003,1.936785048931475
49,2.049433373022713,1.9476860260292526
50,1.9733610493320983,2.9721123422726663
51,3.2266571446180268,3.441620348212805
52,3.023210970870918,2.821057994715387
53,12.91169473562884,10.985571701230887
54,14.069766195151633,11.733761188346826
55,1.5209290846952883,2.27136256304369
56,0.5829425946943739,0.9239607697433008
57,4.561703140063958,4.999656813827786
58,0.38541060482119055,0.7835918001494233
59,4.562763415333988,6.028680393174661
60,5.467734503403581,5.438451803536245
61,3.535383345169381,4.1847518857457064
62,4.278823197953744,5.172876904437951
63,4.52299415639535,5.358143407882557
64,3.5709671198970665,4.765212940339062
65,7.75403385129564,9.963359848942462
66,3.3250806711184913,4.108388752598737
67,4.551801667089285,7.07564165638358
68,3.1456159016902547,3.896607017795265
69,2.4782155120609044,3.2551087496184503
70,2.2597132942312768,3.672331410963651
71,3.3714853155226883,3.563271535556039
72,4.421210540698488,4.746811170512507
73,2.847280662105439,3.804665077097398
74,4.704004327549539,5.551151530855921
75,4.266623982563211,4.1927961632757205
76,4.75446020054128,4.695845038896642
77,2.353414880854581,2.853573619146061
78,3.1544729177648425,3.4070234424109747
79,2.1359834936644053,2.8759507505119917
80,2.7398040286212297,3.3528593854495568
81,3.165801240853584,3.729709093434921
82,3.7072988492341206,4.031034735546238
83,2.5799657234152655,4.254078285805294
84,2.323847724159939,3.360691687106001
85,3.026458562171822,2.737938785318791
86,4.190367342814438,3.7357287264115038
87,7.148451278579189,8.893814257959647
88,3.491612469952808,4.452590810687221
89,3.3692697227106274,4.034927939437056
90,3.923877637226446,4.816993204828022
91,11.126720757669732,10.59914401982793
92,3.808153422626949,5.271431901655987
93,6.04743655131794,5.559572449250724
94,6.014099971684772,6.785490955485931
95,13.379988854748287,15.250193952958108
96,3.0189627544632187,3.6594460424201043
97,4.927711985070493,5.021016136108599
98,12.959202667159763,13.398998594509932
99,2.819365113539292,4.00763903263743
100,4.882746409279023,4.963350315652911
